WISEID,Answer,KIScore
118362,It traps some energy like the glass of the green house.,4
118397,I think Earth because in Picture B it shows Earth on the inside of the oval shown in Picture B.,2
118393,0,1
118417,i think why is beacuse the heat from the green house will take engery from the plants,2
118403,The atmosphere is like the glass because it dosent let the light out .,2
118410,the ocean is a green house gass,2
118392,well the atmosphere works like the glass from the green house from part A and that is how the heat does not scape from earth,3
118394,The earth is like the house because the sunlight is shining on the earth.,3
118413,The earth because it is where the light seems to be bouncing off of.,2
118408,it go therw the window,2
118409,the sun because green house are meant to shin sun on the the green house,2
118401,The atmosphere keeps the solar energy from escaping earths atmosphere because of gravity.,3
118405,the earth is like the panels because the earth atmisphere is not letting the sun escape,2
118402,Because at picture B it shows the greenhouse effecting earth,2
118406,"The atmosphere blocks radiation, but acts like a big window. ",3
118400,the earth is like the glass in the picture because it reflects.,2
118415,"The atmosphere is what surrounds the ""greenhouse"" (earth) which means it is like the glass of a greenhouse.",2
118398,Earth because it is on earth so i think that it would be earth,2
118395,Atmosphere because it's allowing the heat to go through and project heat to the earth.,2
118412,the atmosphere protects us so we dont get alot of sun,2
118391,It looks like earth's atmosphere is trapping the heat energy from the sun and letting the solar energy escape. ,2
118411,"The atmosphere is Earth's ""blanket"" so the lines bounce off the atmosphere.",2
118407,The earth is reflect the sun heat like the glass.,2
118414,The atmosphere collects could air.,2
118418,"I think it is the atmosphere because the atmosphere is like a shell that lets things come in, but does not let gases come in, but does not let gases out. ",2
118416,0,1
118396,the sun because it make one of the live and grow              ,2
118419,The sun as you could see that  the sun is coming straight to the green house and the earth,2
118404,0,1
118439,"The atmosphere is the layer outside of the Earth and it acts as a layer off invisible glass. For example, when a comet or rocket enters the atmosphere it sets on fire.",2
118437,glass just lets the sun go through so does the atmosphere.,2
118438,The earth is like the glass of the greenhouse. It will absorb heat and then release it.,2
118443,"The atmosphere around the green house is reflecting the sun and giving off heat, the original heat is from the sun.",2
118456,Atmosphere because the sunlight can get out just like the glass.,3
118455,the atmosphere acts like glass to create humidity ,2
118446,The atmosphere is like the glass in the greenhouse picture because it reflects the sunlight onto the earth to warm it.,3
118440,sun because the green color is light and it reflects off of the house and that is what the arrow is the heat is going in then coming out,2
118451,The earth soke in the sun light.,3
118462,just a guess i don't know,1
118442,because the heat is coming inside the atmosphere like it does for a greenhouse.,2
118447,The atmosphere because the greenhouse effect is what keeps the sun's heat inside to warm the earth.,2
118441,Because the picture suggests that the sun is like the greenhouse glass.,2
118452,"I think that it is earth because the glass is reflecting the sun,also the earth is reflecting the sun?",2
118461,The atmosphere lets air come in but it doesn't let it come out,2
118460,Because it is like the glass that does't let the heat out. ,2
118464,its the sun because sun goes back,2
118453,I dont know.,1
118458,"in the greenhouse, the light is going through the glass and bouncing off of the walls and the light in the atmosphere is bouncing off the walls of the atmosphere and the earth.   ",3
118454,The air is so polluted that it keeps the warm air in and the cold air out.,2
118457,the sun heat goes thru the glass which makes it hot in the green house ,2
118445,"The atmosphere traps the heat inside, like the glass does with the heat from the greenhouse.",3
118450,I think the Earth because the heat would affect the Earth much like it did to the glass.,2
118459,I found the anser by in the picture the sun ray is inside the green house not going the outside.,2
118463,because the atmosphere traps the suns heat so the earth could stay warm,2
118448,The atmosphere because it acts like an insulator to keep heat in.,3
118444,"Earths atmosphere holds in the heat, just like the glass of a greenhouse.",3
118476,0,1
118481,it is showing sun shining down on earth is many many green houses.,2
118535,Earth absorbs heat so that we can stay warm and the green house's roof also absorbs heat so that the plants can grow. since they both absorb heat they both are alike.,2
118540,The atmosphere is just like the picture with the glass because it's traping gases.,2
118544,i think earth will reflect the heat into the ground and absorbs it,2
118527,really don't know it was a guess,1
118557,In picture B the earth is acting like glass on the greenhouse because the glass reflects sunlight and the earth is reflecting sunlight.,3
118528,because the windows are keeping in the heat so is the atmosphere,3
118531,0,1
118524, The atmosphere acts as the glass of the greenhouse because they both keep the warmth in.,3
118545,"the sun, because it makes the light green and it gets reflected and makes the glass hot",2
118558,0,1
118561,The atmosphere keeps the heat on earth because it acts like a shield.,2
118525,it is earth because it shows it on the picture,2
118539,it goes through the glass into the house. With the atmosphere it goes through the atmosphere into the earth,2
118554,refelicon,2
118566,The atmosphere of the green house is the outside of it.,2
118565,It is because in the picture it shows that around the earth is an atmosphere that surounds the Earth an keeps the air inside.,2
118550,It looks like the sunlight is repelling off the atmosphere.,3
118551,0,1
118547,the sun goes on the greenhouse so it reflet on the window ,2
118560,the sun is hitting the glass,2
118568,porquecalienta,1
118553,it's the sun because that makes the flowers healther and makes them survive more,2
118546,The Earth's atmosphere stops the suns heat from escaping Earth just like the greenhouse stops the suns heat from escaping it.,2
118538,It is yellow shine.,2
118552,i don't know,1
118563,The sun is giving out energy ,3
118555,the sun because that is were the light comes from,3
118569,I personaly think that the atmosphere is like the glass of the green house,2
118571,i think it is space because it will act like the green house,2
118559,idont know,1
118564,Because of the rays of the suns.Both,3
118570,0,1
118585,it is like a green house because it reflects the light back into the sun,3
118590,the dotted line is the atmosphere. The cold air reflects off the atmospkere. ,2
118575,the atmosphere holds in all the gasses so they cant escape.,2
118594,because the atmosphere is in the clouds and if you pass the clouds your in space ,2
118586,"because the earth is like a hollow ball ,heat can enter but heat cannot escape
",2
118595,when it get to hot and the sun cant come in the sun serounds the area that it cant ,2
118578,Picture B is like the green house because it is similar to the suns raise bouncing off the earth.,3
118593,It is like the window because it lets in the sun just like a window.,2
118582,because the sun goes through,2
118587,the sun because the sun gooies throu the glass,2
118588,11 is the new F,1
118589,0,2
118579,"The atmosphere because it is like the glass, letting the gas out.",2
118603,cause it looks like the light is coming in side.,2
118592,It is the same like the atmosphere because the panels from the green house keeps the hot air from the sun .The atmosphere lets the hot air in so that is how we get the hot into our house when it cold and also we it is a hot day.,2
118584,I chose this answer because the atmosphere is holding the light from the sun in and the glass is holding the heat in,3
118576,I said this because the sun looks like it is reflecting off something.,2
118599,The atmosphere because the air is coming in and out.,2
118577,The atmoshere works like the glass on a greenhouse,2
118591,It looks the same because the sun goes into the greenhouse just like its going into the atmosphere.,2
118580,I choose that answer because the sun is reflecting of the glass and shining on the plants and making them grow.,2
118598,"The atmosphere is like the glass because it's letting heat in, but isn't letting it out.",3
118581,The earth looks like a greenhouse class because it absorbs the heat.,2
118619,The atmosphere surrounds the Earth like the glass surrounds the greenhouse.,2
118608,The sun gives of heat and the the squiggly lines makes it look like it is hot in their ,2
118597,it is earth because earth is like a greenhouse,2
118630,0,1
118583,because the sun rays are trapped,3
118637,because the sun is toward the earth and the earth is geting heated ,2
119017,"In the the greenhouse, sun goes through the glass. In the earth picture, the sun is going through the atmosphere",2
118296,The atmosphere acts like glass because heat can't get out. ,3
118300,Because the sun is heating up the greenhouse and it gets very hot.,2
118302,The Atmosphere is like the glass of the greenhouse because what comes out of it dose not come back in side.,2
118310,I think the sun is the glass on the green house because it shows that the sun goes in the atmospher and gets out when it hits the glass again. ,2
118304,The IR bounces off the surface and is trapped in the source.,4
118313,The atmosphere absorbs sunlight and traps it on the surface of the earth which is very much alike the greenhouse.,4
118319,the atmosphere traps heat in like the reflective glass in the greenhouse.,3
118297,Because the sun is the heat in the green house and in the sun picture the gas is the heat in the greenhouse picture.,2
118298,The atmosphere acts like the glass because the heat goes straight through.,2
118311,Because the atmosphere prevents some gasses that are dangerous to come to earth.,2
118305,the sun would light the green house,2
118293,The atmoshere is like the glass because the light can get in the atmosphere but can't get out.,4
118299,If you think about a little that lines moving toward the greenhouse could be solar radiation because basiclly solar radiation is the sun so thats what i think.,3
118309,because i see a picture of earth on the other side,2
118307,Because the atmosphere is what keeps heat and gravity here on earth.,3
118306,"the glass makes the green house hot,and the sun keeps the earth hot.",2
118308,the sun because it will provide heat in a greenhouse,2
118321,Because you can see how the earth looks kind of like a glass.,2
118312,I think it is the atmosphere because most gets reflective and the rest gets absorbed.  ,2
118318,#N/A,1
118303,the atmosphere because the atmosphere looks like but it works like the glass to.,2
118314,0,1
118301,I chose the atmosphere because it looks like the glass in the the green house.,2
118316,the sun shines the light in too the earth ,3
118320,This was my answer because the top of the green house would be the glass and that is where the sun would be shining.,2
118294,The heat gets trapped inside the atmosphere the the heat getting trapped inside the greenhouse.,3
118315,the atmosphere is like a green house but instead of using glass the atmosphere has green house gasses which absorbs heat and keeps heat in which is what we call globle warming,4
118323,the atmosphere around the earth keeps the heat inside just like the glass in the greenhouse picture.,3
118482,because there something down from the sun to earth.,2
118478,The green house gasses collect up in the atmosphere and it is making the earth heat up quicker.,2
118479,The sun because it affects the green house in many different ways,2
118480,I think its because it traps the heat in our atmosphere just like a greenhouse.,3
118473,because it shows in the picture the it show the atmisphere.,2
118474,it will get hot,2
118483,The atmosphere brings in heat and does not let it escape.,2
118470,"In the green house there is glass that keeps the heat trapped in, and in the Picture ""B"" the atmosphere seems to be doing the same thing. ",3
118472,0,1
118468,The atmosphere is like the glass in the greenhouse because the glass makes it so the gas can come inside of the atmosphere and the atmosphere makes it so the gasses don't escape.,2
118475,The sunlight is absorbed by the ground and trapped underground.,3
118477,The reason why I chose the sun was because the sun hits both the planet and the greenhouse of course cause its on the planet earth . So the sun is the better option to this question.,2
118465,"It lets the solar radiation in and keeps the heat in as well.
",4
118487,the atmosphere is trapping the heat to,3
118488,0,1
118486,The atmosphere because it doesn't really absorb the heat and energy.,3
118484,I did this because the sun gives heat...,2
118485,the atmosphere because it works like a bubble.,2
118490,the atmosphere is like the glass because it protects the world acting like a bubble,2
118467,I chose atmosphere because it acts like if there was windows and its staying inside.,2
118471,The glass and the atmosphere keep heat inside but they don't keep all of the infrared radiation.,4
118469,the earth is green.,2
118466,"In the photo the light goes through the atmosphere and the glass,but stays inside the atmosphere and glass.",3
118543, The atmosphere is like the glass because the atmosphere is protecting the earth and the glass is protecting the green houses,2
118515,i think it is the atmosphere because the atmosphere is around the earth by space.,2
118517,it takes heat in but not out.,3
118533,because the atmosphere is reflecting the heat.,2
118518,The atmosphere will keep the air trapped in like the glass on the green house does. Thus creating the same effect.,2
118548,I think it is the Earth because the heat from the sun is going inside the Earth.,2
118522,atmosphere because it can reflect and obsorbe,2
118562,k,1
118526,It would be the earth because the earth gathers the heat just like the green house.,2
118567,The atmosphere is like the glass because it is able to trap the heat inside the earth.,2
118516,I think it is the atmosphere because the solar radiation can bounce off the atmosphere like glass on a green house,3
118521,the atmosphere acts like a reflector.,2
118520,#N/A,1
118514,"Some of the light from the sun is passing into the greenhouse through the sun, and some is getting reflected. The same thing is happening with the sunlight passing through the atmosphere and into the earth.",4
118512,The sun goes through the atmosphere and the glass.,2
118509,It is like a ring around the earth.,2
118534,"the sun reflect light that can be green
",3
118519,I choose the earth because the sun reflects the earth but it bounces off.,2
118511,The atmosphere is what the earth uses as a shield. So the atmosphere is like the glass of a green house.,2
118542,The sun because the sunlight in the picture almost has the same radiation as the greenhouse gasses.,3
118537,I chose sun because the sun reflecting is a fact.,2
118529,"I think it is the earth because the earth will obsobe some of the heat but then it will reflect some of the heat, this turns into infered radiation.",3
118536,"like the atmosphere, the glass is how the heat gets through to the plants, or the earth.",2
118523,0,1
118530,because the sun goes into the panels and th sun gives sun light to the plants.,3
118510,The atmosphere lets heat in and keeps heat in like the glass.,3
118513,Earth because it keeps the heat like the greenhouse.,3
118556,It is like the green house gasses because they keep the heat in.,3
118549,"i think this because the atmosphere is like the green house glass because the glass traps the sunlight just like the atmosphere dose with the sunlight the atmosphere traps the sunlight then the plants absorb it.
",4
118607,The glass panels of the green house is like greenhouse gases. greenhouse gases trap heat in Earth's atmosphere as the glass panels of the green house does.,3
118622,The atmosphere because it absorbes heat,2
118604,the atmosphere is like an invisable wall.,2
118614,the sun is like the glass because it keeps the heat in the green house.,2
118628,The Atmosphere is the glass because it is the thing that absorbs the Heat and the Solar Radiation.,3
118632,its the atmosphere because its sucking sunlight inside the earth,3
118602,"i chose the sun because i see, in the picture of the green house, rays of heat entering the green house.",2
118600,It keeps the heat inside.,3
118623,The greenhouse is giving off heat and the sun does the same thing.,2
118613,it shows the sun rays hitting earth and reflecting,3
118610,in picture b the atmosphere keeps the gravity and oxygen within bounds. ,2
118618,I said the atmosphere is like the glass because lets different gasses in.,2
118626,         I think the atmosphere is like the glass because it lets the heat in but not out.,3
118621,because the sun hits the earth like the sun hits the glass in a green house ,2
118611,#N/A,1
118606,when light hits the earth the earth traps it to stay warm.,4
118620,because it is like glass it doesnt let go.,2
118616,The earth is like the glass of the greenhouse because the Earth is the suns space.,2
118601,The atmosphere is like the glass because it reflects and absorbs.,2
118615,The sun cause the sun passes through the glass the it gives heat to the plants and the plants will grow.,2
118624,"I chose this answer because in Picture B, the sun's light is going on the Earth's surface, and the atmosphere is reflecting back the light the sun is giving.",3
118634,#N/A,1
118609,#N/A,1
118612,becouse the atmosphere is like the glass lets it in and keeps it in the house for a while  ,2
118947,Light can travel through the atmosphere but sometimes it will bump into something in the atmosphere which would reflect or absorb the energy.,3
118344,i chose the atmosphere because it is like glass keeping the heats in.,3
118337,  ,1
118358,Because the glass is reflecting the greenhouse gases and so is the Earth.,2
118350,The atmosphere is alike because it holds in the heat and doesn't let it out but let's it in.,3
118353,The atmosphere because it will shin out ans in.,2
118346,because the sun is in space already so it can´t be the glass of the green house.,2
118366,It keeps the solar radiation in the earth like glass,4
118352,The reason the atmosphere is like the glass is because the atmosphere like the glass reflects some light and absorbs some light.,3
118355,The atmostphre lets heat in but lets it out when broken.,2
118338,I said earth because some of the heat is reflecting off and some of the heat is going through the glass.,2
118348,the sun because it is shining in the green house.,2
118349,The outide of earth represents class in a green house.,2
118354,the sun is bouncing off the earth and then into the space,2
118351,The suns heat has to go in the inside for it to heat the plants.,2
118361,I think sun because sun look like glass.,2
118345,this is like the glass because it lets some through and reflect some,2
118341,The atmosphere and the glass both trap heat inside.,3
118367,because the sun is yellow and the will reflect the glass.,2
118343,The atmosphere is like the glass of the greenhouse because the sun can reflect in and out;the sun can pass through the atmosphere.,2
118357,because they both absorb the heat and let it in.,3
118369,#N/A,1
118339,They both technically do the same job.,3
118372,the atmosphere is like the glass beacouse it ceeps the inside hot.,2
118360,the atmosphere is letting cold air out and keeping heat and light in.,3
118356,the earth is absorbing the heat  and not letting it come out,2
118347,It appears to be the same because the sun heat will go inside but when it tries to escape it will; instead bounce around but cannot escape. ,2
118371,i think it is sun because the sun reflects light. ,2
118368,the heat is reflecting trough to give the plants sun.,2
118364,the atmosphere is like a greenhouse because it keeps the heat from escaping,3
118362,#N/A,1
118397,The sun because sunlight grows plants.,3
118393,    I think it is the atmosphere because it acts like glass and heat can go in but only some can be relseted.,3
118417,0,1
118403,The atmosphere doesn't let out the heat just like the glass from the greenhouse.,3
118410,It is on the green on the earth.,2
118392,#N/A,1
118394,The sunlight is shining through the Atmosphere.,3
118413,atmosphere because the glass of a green house keeps the heat inside of the greenhouse and the atmosphere keeps heat inside of the earths atmosphere,3
118408,because the atmosphere asorbs the heat and reaflects the heat,2
118409,it the sun because in the green house the sun put the heat inside of it,2
118401,The atmosphere is just like the glass panels in the green house because it keeps heat inside the earth just like the greenhouse. ,3
118405,the glass is the part that lets the haet inside and so does the atmosphere but when it turns night the  heat is relesed and same like the greenhouse when the widows open or a door the heat is realesed ,2
118402,Because the atmosphere keeps the sun in with the earth,2
118406,The glass of the greenhouse is like the atmosphere because they both are making the heat more powerful.,2
118400,Its earth because the sun is reflecting of of it.,2
118415,The atmosphere is like the glass of a greenhouse because they both let the Solar Radiation through to the ground to turn into heat.,4
118398,The sun because it gives heat,2
118395,The atmosphere because it shows the light and heat going up and coming back down to earth. And the glass acts like the atmosphere and shows that it reflects off the glass once it goes in.,3
118412,because the atmophere reflects some sun light so that it doesnt give the earth to much sun light,3
118391,The glass on the green house allows solar radiation to enter and release infrared radiation and capture the heat energy.,3
118411,The glass is in between the sun and crops and the atmosphere is in between the sun and Earth.,2
118407,"The glass lets the light in, but does not let the heat escape. That is like what the atmosphere does.",4
118414,It captures the heat and reflects it. ,2
118418,"The atmosphere is like glass, except stronger because in the picture, it shows atmosphere acting the same.",2
118416,I think this because the Atmosphere Keeps the heat in like the glass.,3
118396,0,1
118419,The sun is going to the greenhouse.,2
118404,inside the greenhouse is so hot because if is sunny the hot will go inside the greenhouse,2
118439,the atmosphere turn solar radiation to heat,3
118437,it lets solar radiation go through same with glass,3
118438,Both earth and the greenhouse absorb heat and then release the heat after a while.,2
118443,"The atmosphere reflects the solar radiation ,that was inside the Earth's atmosphere, towards the Earth's surface",3
118456,"I picked atmosphere because just like the greenhouse glass, the heat goes through the atmosphere.",2
118455,the atmoshere is like a layer of glass,2
118446,The glass is like the atmosphere because it lets in sunlight which provides heat.,4
118440,The atmosphere because the heat comes from there,2
118451,The atmosphere is like the glass because it aborbeds the heat,2
118462,well the atmosphere is my best guess because i am not really sure of this one.,2
118442,because it lets light into the earth,3
118447,The atmosphere is keeping the heat in.,3
118441,The atmosphere lets the heat pass through like the greenhouse glass.,2
118452,because it is reflecting off the earth and it is kind of absorbing it too,2
118461,The atmosphere keeps the air in the inside in and on the outside out because only heat can travel in.,2
118460,The atmosphere because its like acting as a reflector to the inside and doesn't let the sun out.,2
118464,it is like the atmosphere because it blocks the sun. ,2
118453,The glass is the like the atmospher on the earth because the glass is the roof and the atmosthphere is a roof to the earth.,2
118458,The sun is bouncing off of the windows of the green house like the sun is bouncing off of the atmosephere. ,2
118454,The heat is getting trapped in the air and heating earth ,3
118457,Earth because the heat would bounce off the shiny stuff on earth,2
118445,"Like the glass, the atmosphere traps the infrared radiation inside the atmosphere, warming the Earth.",5
118450,I think the atmosphere because just like the heat shines through the glass matches when the heat goes through the Earth's atmosphere.,2
118459, The atmosphere is like a green house because the heat doesn´t escape.,3
118463,because the atmosphere is keeping the sun's heat to keep the earth warm. ,2
118448,Atmosphere because it holds in heat just like the glass.,3
118444,"Earth's atmosphere keeps in some of the heat, just like the glass. ",3
118476,I think sun because it is effecting the greenhouse.,2
118481,on the earth you see blue arrows pointing back out into the sky ,2
118535,The atmosphere is like the glass because its the area BEFORE the heat hits the earth. The glass on the greenhouse is also the area BEFORE it hits the greenhouse so they are both acting as the same thing but in different forms. ,2
118540,I think it's the atmosphere because it's like a blanket covering just like the glass.,2
118544,its like the glass because the heat just goes right through the atmosphere.,2
118527,I am not really sure,1
118557,The earth and the glass act similar because they both reflect heat and they both absorb heat.,2
118528,"it reflects heat back in just like glass
",2
118531,The atmosphere will be like glass because the pressure will keep the heat inside.,2
118524,The glass of the greenhouse is most like the Earth because the surface of Earth is reflecting and absorbing the heat as the glass of the greenhouse is.,2
118545,I would choose earth  because  the glass acts similar gecause both reflect heat and  they absorb heat.,2
118558,Earth because on the picture it shows something reflecting of the earth.,2
118561,I think its atmosphere because once solar radiation comes through it stays trapped and only a little gets out.,4
118525,i chose the atmosphere because it is like a shield around earth.,2
118539,this allows light to come into earth that will later be transfered into light,2
118554,it is like a windo that reflects and lets in light,3
118566,The sun gives the heat and the glass is what does not let the energy out.,2
118565,It is because they acted as if they were both an atmosphere,2
118550,It reflects solar radiation.,3
118551,The sun reflects off of the earth because the earths crust.,2
118547,because the sun hit the glass,2
118560,it looks like it.,2
118568,porquese calienta,2
118553,because their both green so they are like sister and brothers.,1
118546,The atmosphere stops the heat energy from escaping just like the glass in the greenhouse.,3
118538,It is earth because some of the energy is being absorbed and some is being reflected. ,2
118552,the sun hits the Atmosphere.,2
118563,The heat has to pass the glass to heat the plants and Earth is like that also;the heat passes through the atmosphere and then heats the Earth.,2
118555,The atmosphere because that us were the sun reflects to the green house gases.,2
118569,the atmosphere because it is like a glass to cover the sun away .,2
118571,The atmosphere is acting like the glass of the greenhouse.,2
118559,0,1
118564,Because the rays of the sun goes into the greenhouse.,3
118570,0,1
118585,the sun is like the grass of the green house because the light is going into the green house and is trapped and that's whats happening also to the atmosphere. ,4
118590,it keeps the cold air moving and the suns rays out,3
118575,The atmosphere is like a hood ,2
118594,why because the clouds are there and when you pass the clouds you go into space.,2
118586,0,1
118595,0,1
118578,In picture B the suns radiation is bouncing off the earth and absorbing the suns heat just like how the sun passes through the glass pannels.,3
118593,"The Earth is like the greenhouse because it lets in most of the heat, light, and energy.",3
